,angle
0,112.00600354427114
1,111.96499630964742
2,111.96897423003574
3,111.99863771151269
4,111.99022573602939
5,111.94182931894376
6,111.97354895970606
7,111.9840812458366
8,111.99700880598046
9,111.95588673433315
10,111.9608795988143
11,111.97681313241168
12,111.99188473144967
13,112.03376267169494
14,111.99119233658853
15,112.01877991740191
16,112.02963250202147
17,112.00692808442808
18,111.99873391777206
19,112.02357034153974
20,111.99402015234158
21,112.01709855426473
22,112.02498780806317
23,111.99546504805707
24,111.99351671565915
25,111.97732014942473
26,112.00476611784562
27,112.03272953416975
28,112.04038962595926
29,112.00535775026125
30,112.05769392186494
31,112.0511145656429
32,112.04036686833419
33,112.02706772338556
34,112.05704428118077
35,112.034027108306
36,112.02659048895208
37,112.00823883963668
38,112.01633548100321
39,112.05027721928657
40,112.02115422744774
41,112.00684780346451
42,112.03062280964144
43,112.04637520439319
44,112.06066567525536
45,112.06372643892792
46,112.04211288291104
47,112.07925322349779
48,112.07532141321353
49,112.05661765628668
50,112.08327816732142
51,112.0546701482859
52,112.04166932241478
53,112.0312212579374
54,112.02285010263884
55,112.03809751156415
56,112.0389138618737
57,112.00706337135745
58,111.99600443839368
59,112.02395195435162
60,112.01337898459269
61,112.00462985842661
62,112.01368957494547
63,112.04186125611933
64,112.04673738273729
65,112.01678229207121
66,112.03369746179153
67,112.09499498200356
68,112.08130822489275
69,112.07320309510784
70,112.06029880004229
71,112.08697706703316
72,112.08320766113589
73,112.05899235221291
74,112.06891208038056
75,112.12551092998483
76,112.08189123597141
77,112.07035691511504
78,112.06365253289353
79,112.15228475668532
80,112.10457309698121
81,112.10322198303209
82,112.11016999091315
83,112.13912213658895
84,112.11978413666696
85,112.11730562475051
86,112.11856572965159
87,112.12878754782925
88,112.12685120233519
89,112.12718923176608
90,112.11076790285478
91,112.17336402450712
92,112.16988899727757
93,112.10897192299215
94,112.16870804483709
95,112.17663475754888
96,112.11981534218235
97,112.17530774617806
98,112.12667337845009
99,112.20892863966458
100,112.2106320024961
101,112.14734292718546
102,112.1552040218571
103,112.21563592323699
104,112.21819941518955
105,112.1945150004307
106,112.15821032137536
107,112.21322683492016
108,112.20672806080063
109,112.19983383446191
110,112.14287523221725
111,112.19876589312449
112,112.15875008348932
113,112.13707968233625
114,112.14314552262869
115,112.16253442913553
116,112.16013706945868
117,112.14801765280437
118,112.15217915695327
119,112.21695016127376
120,112.18039881950389
121,112.21003485235694
122,112.18238216077395
123,112.1731312308058
124,112.19420773086063
125,112.17225807802937
126,112.17632855587448
127,112.19469151825918
128,112.18858287480421
129,112.17133477255794
130,112.17314456800601
131,112.15111228219814
132,112.19278075269025
133,112.18537097300668
134,112.2065306707271
135,112.17745325951262
136,112.20248474549867
137,112.1975133924487
138,112.21911119825661
139,112.2267076134501
140,112.23124128720602
141,112.20297722919656
142,112.1992369203359
143,112.20281023849317
144,112.19908449800032
145,112.19894508303628
146,112.19676063760865
147,112.22266922388835
148,112.2278888872053
149,112.20394676931929
150,112.20443522158158
151,112.2039674543428
152,112.21335227238805
153,112.23895452927398
154,112.19617390963667
155,112.21481244555143
156,112.20702215024912
157,112.18986056672317
158,112.20368320956145
159,112.26472494698217
160,112.25501540835172
161,112.18458448509506
162,112.18583062385922
163,112.25197176826295
164,112.25916470397891
165,112.25073806295609
166,112.24434518560543
167,112.26369170364798
168,112.26228445747641
169,112.23618517895508
170,112.25481177697296
171,112.2741743177677
172,112.27678861086741
173,112.2176098691697
174,112.20881479794666
175,112.21189791293338
176,112.20811646603629
177,112.20743733815569
178,112.186626149831
179,112.20532519470905
180,112.20759304681187
181,112.19892161632582
182,112.19906485669746
183,112.20974740793967
184,112.21287126099595
185,112.18675839293634
186,112.19295284218876
187,112.20257832883763
188,112.20334963038191
189,112.1829208970126
190,112.18350285877055
191,112.18987078369844
192,112.18443255953045
193,112.17049469971089
194,112.16790024085651
195,112.18218413021876
196,112.1701315035553
197,112.18074062910435
198,112.1795091716201
199,112.2010078646773
200,112.20344211975768
201,112.19470300700493
202,112.18612250818929
203,112.21348740553933
204,112.21675271030954
205,112.1999080531161
206,112.20121885997686
207,112.21930791308922
208,112.21316610410294
209,112.17186353810015
210,112.1896173677058
211,112.1976224717032
212,112.18576627811397
213,112.1741880302332
214,112.17814654203225
215,112.19915832260718
216,112.1939084317149
217,112.19376560827443
218,112.18514842491612
219,112.21800707744885
220,112.20077117275538
221,112.19448008758171
222,112.19410271347012
223,112.20460140816782
224,112.20844230963937
225,112.19019688791504
226,112.17810537192557
227,112.1990115893154
228,112.17678488485389
229,112.18371543955307
230,112.18165335509845
231,112.18963855123994
232,112.1839231376184
233,112.1667548495974
234,112.16820909895388
235,112.16552990623552
236,112.17877207089393
237,112.14257494730273
238,112.14934921908107
239,112.16207761098282
240,112.16741101874548
241,112.15182185500713
242,112.14143978975093
243,112.1589832093261
244,112.1618247569565
245,112.14286814752141
246,112.14717517441233
247,112.15559193821146
248,112.16257836908099
249,112.1460936363281
250,112.14015833268986
251,112.15121140517154
252,112.16622199354856
253,112.14138651325344
254,112.14654055795602
255,112.16457116447033
256,112.15673206698362
257,112.14319281142721
258,112.14597269061265
259,112.18019252573274
260,112.16680334517007
261,112.17188580234495
262,112.17692964220025
263,112.200157203822
264,112.20667697580079
265,112.19313655796958
266,112.19209891961812
267,112.22622908917035
268,112.21588015691225
269,112.20928028886438
270,112.22262794636374
271,112.23133294219183
272,112.22747920051707
273,112.22366973661818
274,112.20993199493233
275,112.22920749945429
276,112.22118810201229
277,112.21909590929967
278,112.21650387622707
279,112.21039353687043
280,112.21272933280926
281,112.19993754554807
282,112.20775818808872
283,112.21494719578715
284,112.22801333370307
285,112.20930268278137
286,112.20960441228377
287,112.22238887981217
288,112.22007004691051
289,112.20677310745671
290,112.20274648597443
291,112.20218649691925
292,112.19929908585993
293,112.17357091451821
294,112.18825559782123
295,112.190938184044
296,112.17836518999714
297,112.17290649942196
298,112.16057675956489
299,112.18289723260827
300,112.18025375941885
301,112.18435203009994
302,112.18019481382528
303,112.19606179436569
304,112.20757531127103
305,112.20569975776695
306,112.20337531034896
307,112.20806226068274
308,112.20756154711188
309,112.19427927572389
310,112.18009392837581
311,112.20545928693234
312,112.20774034736834
313,112.19814826735356
314,112.2041329901868
315,112.22386915454065
316,112.21646664651074
317,112.20660746163509
318,112.21696465776992
319,112.23413664040386
320,112.22899929691758
321,112.23265179821111
322,112.23345485100278
323,112.24435410541561
324,112.23675537000679
325,112.23454788891893
326,112.2331323973128
327,112.24093009803337
328,112.24408597137308
329,112.21729973214387
330,112.22692334796852
331,112.24177839956879
332,112.2306911620314
333,112.2194365893943
334,112.221146258505
335,112.22226851331239
336,112.2337691103796
337,112.22248613628598
338,112.22838155612342
339,112.22377684568904
340,112.23462524995446
341,112.19877785383362
342,112.19630712767798
343,112.22921093063701
344,112.23692876521118
345,112.20922735131322
346,112.20897856060695
347,112.22712608967777
348,112.2247060510597
349,112.20936386833954
350,112.21349400786457
351,112.21309978639928
352,112.21811415628726
353,112.19740287742509
354,112.17866584051718
355,112.19747618973895
356,112.19195370992635
357,112.17470457273147
358,112.16730354752873
359,112.18132024762717
360,112.1749235501069
361,112.14405715221564
362,112.12668599884464
363,112.16299933178955
364,112.13916695942939
365,112.11170107759449
366,112.11146425468361
367,112.13103518437465
368,112.15859724156415
369,112.12475112009594
370,112.1340727377203
371,112.14833823374227
372,112.18749982868337
373,112.18335817442478
374,112.18700015258933
375,112.21051122849737
376,112.22423728051272
377,112.2065694960666
378,112.23650816624983
379,112.26863570525666
380,112.24992649893152
381,112.2454216981723
382,112.22596883930017
383,112.26332879372542
384,112.26361274128074
385,112.21553170875234
386,112.21927550228435
387,112.25817819726045
388,112.23180615600432
389,112.20545522956304
390,112.20154112775433
391,112.20600352615544
392,112.21952430906548
393,112.18626340499345
394,112.19238041414204
395,112.19134767072708
396,112.19408553552708
397,112.17420981636558
398,112.17906995393497
399,112.1796853502637
400,112.17818256549184
401,112.16200129718133
402,112.18189459892275
403,112.18605157061961
404,112.19502526860418
405,112.17957399928035
406,112.19135353568487
407,112.20363673285311
408,112.20289943577
409,112.19191076100434
410,112.18502923374739
411,112.20409197211005
412,112.18833338093263
413,112.17635912769785
414,112.1768361900408
415,112.19067452570147
416,112.2112743886847
417,112.17495247501063
418,112.17537738972213
419,112.19091336824678
420,112.2132492302469
421,112.18357573353558
422,112.22132641353689
423,112.20366521101815
424,112.22957191382308
425,112.20643068150596
426,112.22998098778075
427,112.20885079598243
428,112.21824842765298
429,112.1999076500053
430,112.19194568938234
431,112.20892093385287
432,112.20779310774203
433,112.1834691857362
434,112.18586852688793
435,112.21415693921011
436,112.17728195132042
437,112.15545585662527
438,112.18144867502734
439,112.20574175067388
440,112.20130573717577
441,112.16565626293439
442,112.15234154133968
443,112.17000032360833
444,112.16140993345522
445,112.16178733700592
446,112.15407085384916
447,112.16799973746774
448,112.16230952991977
449,112.11418030713742
450,112.13381402850848
451,112.14453614315197
452,112.14693027431333
453,112.12603536926117
454,112.11415202717389
455,112.1349811536942
456,112.12953507359316
